country_iso3,t,gdp,gdpcap,pop,source
ABW,2012,2615208379.88827,25119.6655449838,104110.0,WB
ABW,2013,2727849162.01117,25813.5714408438,105675.0,WB
ABW,2014,2790849720.67039,26129.8390617693,106807.0,WB
ABW,2015,2962906703.91061,27458.2201537506,107906.0,WB
ABW,2016,2983637430.1676,27441.5502144601,108727.0,WB
ABW,2017,3092427932.96089,28440.0416881491,108735.0,WB
ABW,2018,3276187709.49721,30082.1584226798,108908.0,WB
ABW,2019,3346623191.45988,30645.8906024548,109203.0,WB
ABW,2020,2471419181.71957,22759.8071750722,108587.0,WB
ABW,2021,2880902798.92288,26749.3296093118,107700.0,WB
ABW,2022,3324034443.26581,30975.9989121779,107310.0,WB
ABW,2023,3834729616.12027,35718.7531191634,107359.0,WB
ABW,2024,4265650673.00236,39498.5941293797,107995.0,WB
ABW,2025,4942995574.328924,40932.35906102944,120760.0951354649,OptionA
ABW,2030,6388315917.699954,50589.85066387235,126276.63125841232,OptionA
ABW,2035,8122700329.74519,61962.46006084244,131090.66879799985,OptionA
ABW,2040,10334040455.102869,76319.98447559611,135404.12155622564,OptionA
ABW,2045,13080149107.50782,93993.94407463116,139159.48773382875,OptionA
ABW,2050,16462198710.996035,115590.7184250375,142417.99804775885,OptionA
ABW,2055,20552455282.736053,141423.6985164793,145325.39806502935,OptionA
ABW,2060,25466544450.197556,172097.1594257667,147977.71523464588,OptionA
ABW,2065,31233372620.247967,208456.215573859,149831.81256680514,OptionA
ABW,2070,37881846199.75471,251254.62951761845,150770.73912024518,OptionA
AFG,2012,19907329777.5872,651.417134470046,30560034.0,WB
AFG,2013,20146416757.5987,637.087099117099,31622704.0,WB
AFG,2014,20497128555.6972,625.054941813938,32792523.0,WB
AFG,2015,19134221644.7325,565.569730408751,33831764.0,WB
AFG,2016,18116572395.0772,522.082215583898,34700612.0,WB
AFG,2017,18753456497.8159,525.469770891619,35688935.0,WB
AFG,2018,18053222687.4126,491.337221382603,36743039.0,WB
AFG,2019,18799444490.1128,496.6025042585,37856121.0,WB
AFG,2020,19955929052.1496,510.787063366811,39068979.0,WB
AFG,2021,14259995441.0759,356.496214115892,40000412.0,WB
AFG,2022,14497243872.1337,357.261152798144,40578842.0,WB
AFG,2023,17152234636.8715,413.757894705303,41454761.0,WB
AFG,2024,,,42647492.0,WB
AFG,2025,30874060364.352104,710.2008415821062,43472294.81673707,OptionA
AFG,2030,40462813089.37763,827.286309117805,48910289.75509826,OptionA
AFG,2035,53257347101.89773,976.474449533855,54540440.99906708,OptionA
AFG,2040,70613755935.51747,1173.3879323001809,60179378.01447644,OptionA
AFG,2045,93916327162.16875,1428.7281378751763,65734218.19902166,OptionA
AFG,2050,124836451025.75896,1755.2712930943333,71120886.84917033,OptionA
AFG,2055,165187282160.0922,2164.767719528547,76307162.50520746,OptionA
AFG,2060,216906664326.22052,2671.021614705704,81207378.90401517,OptionA
AFG,2065,282689709328.7055,3294.272901477702,85812474.49229243,OptionA
AFG,2070,365523396833.66064,4061.073333072794,90006598.46668883,OptionA
AGO,2012,143572907527.976,5702.45306277434,25177394.0,WB
AGO,2013,148845200696.792,5688.57916215215,26165620.0,WB
AGO,2014,153449860496.402,5649.68762469139,27160769.0,WB
AGO,2015,102543067840.732,3641.72893919944,28157798.0,WB
AGO,2016,59878249719.3279,2051.81462126253,29183070.0,WB
AGO,2017,84376935689.3366,2790.71886869768,30234839.0,WB
AGO,2018,89512794227.495,2860.0936483682,31297155.0,WB
AGO,2019,80734428592.5368,2493.67884440177,32375632.0,WB
AGO,2020,58852456453.8769,1759.35619918264,33451132.0,WB
AGO,2021,79559543805.2963,2303.90812662776,34532429.0,WB
AGO,2022,131212208930.344,3682.1131513698,35635029.0,WB
AGO,2023,107167747140.127,2916.13663284275,36749906.0,WB
AGO,2024,100998916781.079,2665.87444776753,37885849.0,WB
AGO,2025,159427499734.63077,4363.757773137204,36534452.19073531,OptionA
AGO,2030,174077533999.61588,4272.060888288692,40747905.64826151,OptionA
AGO,2035,181805777706.19907,4055.6346527906617,44827947.60151766,OptionA
AGO,2040,195038940728.6285,3995.2522597617735,48817678.59640937,OptionA
AGO,2045,219588745210.86288,4172.2190946182145,52631163.47224251,OptionA
AGO,2050,258845163180.92905,4601.476977210612,56252625.94225549,OptionA
AGO,2055,314272879309.1405,5278.363364953568,59539834.14552307,OptionA
AGO,2060,387644974874.8484,6202.858396579392,62494571.06559418,OptionA
AGO,2065,480915425292.4209,7391.018724374266,65067542.544094406,OptionA
AGO,2070,595664464349.2528,8853.368228895766,67281112.56065387,OptionA
AIA,2012,,,,WB
AIA,2013,,,,WB
AIA,2014,,,,WB
AIA,2015,,,,WB
AIA,2016,,,,WB
AIA,2017,,,,WB
AIA,2018,,,,WB
AIA,2019,,,,WB
AIA,2020,,,,WB
AIA,2021,,,,WB
AIA,2022,,,,WB
AIA,2023,,,,WB
AIA,2024,,,,WB
ALB,2012,12246499747.9714,4280.93316338873,2860708.0,WB
ALB,2013,12796985886.1478,4542.92903556739,2816902.0,WB
ALB,2014,13296322588.1684,4793.59751131525,2773767.0,WB
ALB,2015,11470171826.9575,4199.53912925398,2731293.0,WB
ALB,2016,11988668784.6628,4457.63412207495,2689469.0,WB
ALB,2017,13258268435.6048,5006.36012951959,2648285.0,WB
ALB,2018,15379508329.7568,5897.65452588774,2607733.0,WB
ALB,2019,15585111614.0376,6069.43903131027,2567801.0,WB
ALB,2020,15241458744.5927,6027.91350716348,2528480.0,WB
ALB,2021,18031989573.0294,7242.45513146613,2489762.0,WB
ALB,2022,19017247013.8821,7756.96188744253,2451636.0,WB
ALB,2023,23491242727.4082,9730.86921906893,2414095.0,WB
ALB,2024,27046429296.6673,11377.7757431099,2377128.0,WB
ALB,2025,14736922994.092749,5309.541628247689,2775554.657240042,OptionA
ALB,2030,16601877582.094393,5966.592804558801,2782472.0281581236,OptionA
ALB,2035,18507199152.520317,6664.194626552188,2777109.641843589,OptionA
ALB,2040,20543819644.72626,7442.279218130849,2760420.4360779016,OptionA
ALB,2045,22665423257.825424,8290.499611378727,2733903.1807826255,OptionA
ALB,2050,24732212757.948463,9163.629743073678,2698953.739007437,OptionA
ALB,2055,26801976667.302757,10087.038095843622,2657071.026463809,OptionA
ALB,2060,28928254352.051044,11087.0913520463,2609183.367710944,OptionA
ALB,2065,31027762353.71797,12166.5762566974,2550245.9935380714,OptionA
ALB,2070,33023590947.89517,13316.529217834017,2479894.75393248,OptionA
AND,2012,3188653258.61001,41500.5499988288,76834.0,WB
AND,2013,3193513470.43941,42470.3230369366,75194.0,WB
AND,2014,3271686452.47686,44369.6712976777,73737.0,WB
AND,2015,2789882569.1005,38654.95287916,72174.0,WB
AND,2016,2896611878.6258,40129.8385811474,72181.0,WB
AND,2017,3000160414.63795,40672.9717424447,73763.0,WB
AND,2018,3218418631.67579,42819.7577456133,75162.0,WB
AND,2019,3155150255.91195,41257.816459345,76474.0,WB
AND,2020,2891002460.29153,37361.1070081615,77380.0,WB
AND,2021,3324648075.56293,42425.7066454357,78364.0,WB
AND,2022,3380611694.73392,42414.0479861228,79705.0,WB
AND,2023,3785065524.84754,46812.4261013102,80856.0,WB
AND,2024,4039842405.48117,49303.6491674336,81938.0,WB
ARE,2012,392793464942.138,53141.6124340099,7391448.0,WB
ARE,2013,409632675289.313,53247.2409495441,7693031.0,WB
ARE,2014,424935874744.724,52725.2358407934,8059440.0,WB
ARE,2015,381973042886.317,44910.334995523,8505237.0,WB
ARE,2016,381717086453.37,42721.0999383185,8935095.0,WB
ARE,2017,403365010211.028,43733.6192287435,9223225.0,WB
ARE,2018,440560108917.631,47135.3591943971,9346701.0,WB
ARE,2019,433926208304.969,45938.6073581994,9445785.0,WB
ARE,2020,357161878829.135,37991.7492971665,9401038.0,WB
ARE,2021,422441388699.796,44118.5047192771,9575152.0,WB
ARE,2022,511403403675.97,50759.7589231191,10074977.0,WB
ARE,2023,522622191967.325,49850.6872175164,10483751.0,WB
ARE,2024,552324846834.581,50273.5060469837,10986400.0,WB
ARE,2025,562338836093.9594,52608.909674795876,10689041.829037702,OptionA
ARE,2030,667108837328.1036,57204.92892100711,11661737.020061646,OptionA
ARE,2035,768993886336.2065,61175.98347443264,12570192.462170929,OptionA
ARE,2040,869216537903.1326,64836.12120718745,13406362.406003632,OptionA
ARE,2045,960225005319.538,67899.11583202642,14141936.806585371,OptionA
ARE,2050,1039957742591.9639,70426.36819997863,14766596.222013893,OptionA
ARE,2055,1117339745982.7258,73134.0052006531,15277978.320989696,OptionA
ARE,2060,1202569650627.042,76687.56436133935,15681416.676121425,OptionA
ARE,2065,1284964821301.352,80742.92601605052,15914271.190096822,OptionA
ARE,2070,1361399604483.4436,85222.92933596323,15974569.462598214,OptionA
ARG,2012,545982375701.128,12949.717486654,42161721.0,WB
ARG,2013,552025140252.246,12963.675773326,42582455.0,WB
ARG,2014,526319673731.638,12233.1444119186,43024071.0,WB
ARG,2015,594749285413.212,13679.6264980954,43477012.0,WB
ARG,2016,557532320662.955,12699.9623137756,43900313.0,WB
ARG,2017,643628393281.364,14532.5009308511,44288894.0,WB
ARG,2018,524819892360.176,11752.7998922979,44654882.0,WB
ARG,2019,447754683615.225,9955.97478680428,44973465.0,WB
ARG,2020,385740508436.965,8535.59938004389,45191965.0,WB
ARG,2021,486564085480.036,10738.0179223384,45312281.0,WB
ARG,2022,633993756301.08,13962.1894087223,45407904.0,WB
ARG,2023,649461687959.174,14261.8465667948,45538401.0,WB
ARG,2024,638365455340.04,13969.7836603737,45696159.0,WB
ARG,2025,850295518749.085,18297.984101484028,46469354.98649401,OptionA
ARG,2030,991104885446.9298,20766.02214954268,47727238.19273959,OptionA
ARG,2035,1137987165295.98,23306.61585260991,48826786.88714675,OptionA
ARG,2040,1285382276274.6616,25820.704759817032,49781068.65134885,OptionA
ARG,2045,1431159487754.0566,28329.543636574672,50518268.353125446,OptionA
ARG,2050,1580974003658.8176,30963.893021047956,51058631.502961785,OptionA
ARG,2055,1735397382554.3882,33765.77356899134,51395161.40533748,OptionA
ARG,2060,1892624789723.2612,36727.70665264744,51531254.25507164,OptionA
ARG,2065,2051667784520.4226,39817.29456877876,51527051.41672687,OptionA
