country_iso3,t,gdp,gdpcap,pop,co2_pc,source
ABW,2012,2649051221.828664,25444.733664668736,104110.00000000006,3.60580155604649,hist
ABW,2013,2819423912.9230194,26680.141120634198,105675.00000000001,3.90631653655075,hist
ABW,2014,2859631679.0737376,26773.822680851812,106806.99999999993,4.12987912777252,hist
ABW,2015,2962906703.9106097,27458.2201537506,107905.99999999991,4.28613793486924,hist
ABW,2016,2999478909.4447594,27587.24980404832,108726.99999999993,4.46439246921188,hist
ABW,2017,3104263601.0989304,28548.89043177384,108735.00000000006,4.29576493309422,hist
ABW,2018,3203987172.748101,29419.20862331602,108908.00000000001,4.27241341315606,hist
ABW,2019,3243239612.1407504,29699.180536622152,109203.00000000006,4.66562273930203,hist
ABW,2020,2468170539.298894,22729.889759353253,108587.0000000001,4.50053873852303,hist
ABW,2021,2831747261.741171,26292.91793631541,107700.00000000004,4.71123491179201,hist
ABW,2022,3132944104.210462,29195.267022742148,107310.00000000007,4.99021526418787,hist
ABW,2023,3374393790.1972976,31430.9353682253,107358.99999999993,5.00284093555268,hist
ABW,2024,3604216215.998369,33373.91745912654,107994.99999999996,5.14838649937497,hist
ABW,2025,3604216215.9983754,33373.9174591266,107994.99999999996,5.14838649937497,projected
ABW,2030,4658080606.641175,41248.086820705095,112928.40385273292,5.14838649937497,projected
ABW,2035,5922717875.412541,50520.665680464146,117233.56760326297,5.14838649937497,projected
ABW,2040,7535130393.096021,62226.97447202321,121091.06150554949,5.14838649937497,projected
ABW,2045,9537472735.317337,76637.31588319576,124449.46205910397,5.14838649937497,projected
ABW,2050,12003515409.42148,94246.09732379598,127363.52751224999,5.14838649937497,projected
ABW,2055,14985951634.940603,115308.83998198461,129963.59721667434,5.14838649937497,projected
ABW,2060,18569090563.12613,140318.23538589964,132335.54792117994,5.14838649937497,projected
ABW,2065,22774009481.790897,169963.34176662294,133993.65560287668,5.14838649937497,projected
ABW,2070,27621785678.747818,204858.73424109328,134833.33176431915,5.14838649937497,projected
AFG,2012,17386490239.353615,568.9290214583399,30560034.000000034,0.323442048526517,hist
AFG,2013,18360263162.757824,580.6038333330949,31622704.000000052,0.266539509081829,hist
AFG,2014,18860496494.04039,575.146245808546,32792522.99999998,0.242701667084292,hist
AFG,2015,19134221644.73248,565.5697304087512,33831763.99999998,0.24909135686806,hist
AFG,2016,19566715174.163292,563.8723367231477,34700611.999999985,0.219353479990497,hist
AFG,2017,20084646751.49541,562.7695741409877,35688935.00000003,0.2913283907183,hist
AFG,2018,20323499020.363922,553.1251516882938,36743039.000000045,0.321418704642259,hist
AFG,2019,21118473702.34706,557.8615332074592,37856120.99999995,0.319752781855278,hist
AFG,2020,20621957125.207706,527.8345544993047,39068979.00000003,0.310824605884889,hist
AFG,2021,16345202562.548485,408.6258552174036,40000411.99999998,0.312156784785117,hist
AFG,2022,15325233810.138777,377.66562708070364,40578841.999999955,0.278420956418618,hist
AFG,2023,15672648238.100481,378.06630312258955,41454760.99999994,0.280995468771367,hist
AFG,2024,15896515089.9074,378.06630312258955,42046897.4849443,0.6399027768110876,hist
